,symbol,y,price
117,CHF,-1.6008316881251623,0.0447677779925868
118,CHI,16.381442965917685,0.060637024758504
119,CHZ,14.348300427064238,0.0824292470664229
120,CIRUS,14.059535038844825,0.044804606217686
121,CLV,13.774122697836676,0.0460926374534883
122,COL,16.102754338110948,0.5242857186432149
123,COLX,13.726723869932949,0.000436876411981
124,COMP,-1.5728551053657964,51.12354762794939
125,COS,-5.155534578937258,0.0069368620928106
126,COT,10.27325836241176,0.0261219628391629
127,COTI,0.9008007529985836,0.0578912190301711
128,CPR,-3.215393470620528,0.0006316539646225
129,CQT,13.934850667529368,0.2267977850931561
130,CRE,-7.191656554767593,0.0054710771612158
131,CRO,13.684676144737702,0.0954913950646765
132,CRTS,23.56987920361321,0.0001688090761543
133,CRU,14.059535038844825,0.938830682815732
